Date,RBI_Repo,CPI,Inflation,Urban CPI,Urban Inflation,Total_Sales,Brent_Oil,Steel,Aluminium,USD_INR,NIFTY AUTO,NIFTY 50,FII,DII,Google Trends,TAMO,ASRS,Steel_ret,Aluminium_ret,USD_INR_ret,ICPI,IFD,RSVS
2019-01-01,1.0,0.05298013245033095,0.0,0.06700167504187604,0.0,0.7482955040326092,-0.691391211901795,-0.7124131348264023,-0.8324655304364956,-0.8318727067824295,-0.7682844965469151,-1.0219241042633649,-0.2732819843440441,1.0206537766452168,-0.8421052631578947,180.64,0.41966168621826716,0.11664626405203316,0.2459660134511159,-0.2344969558745963,-0.1494031346129292,-1.7313146874398442,0.29128056571651284
2019-02-01,0.8999999999999999,0.0579470198675498,0.1030927835051546,0.07705192629815727,0.11428571428571421,0.7484035047990663,-0.4529998881307274,-0.7771857202768662,-0.8096121951737303,-0.8538722472177189,-0.7372092453028949,-1.0311800385639394,0.06284995684624568,0.36053142982449504,-0.5789473684210527,176.9,-0.04906058383369827,0.09091997646316186,-0.027452590440330216,0.026445801450056816,-0.15162278369982551,-0.7031047711357069,-0.14250454916903704
2019-03-01,0.8999999999999999,0.0662251655629138,0.15292096219931267,0.09212730318257956,0.2615384615384614,0.7514379779469402,-0.3387816275107435,-0.7372196569138141,-0.7893474253938022,-1.1563659282029344,-0.7417086235451733,-0.8310400183429366,1.131487667574131,1.3873252323304122,-0.8947368421052632,173.71,0.2484038957328436,-0.05142408348523764,-0.025030218048506025,0.3542610524828149,-0.1407056507746284,-0.10157069021124068,-0.09236111852506751
2019-04-01,0.8000000000000003,0.0794701986754962,0.17525773195876293,0.11055276381909529,0.3054945054945054,0.7654258191509746,-0.07209770707234049,-0.8006141022483103,-0.8529275242532112,-1.07276767454884,-0.7382431933333173,-0.8011297495042794,0.3770168255671232,0.7115019622373286,-0.5789473684210527,213.64,0.0324884479573766,0.08599125747661329,0.08054767370361549,-0.0722939439974779,-0.15137109422008507,-0.30728467015701566,0.08818639780241598
2019-05-01,0.8000000000000003,0.0927152317880795,0.18556701030927836,0.12562814070351758,0.3516483516483515,0.7886773390004703,-0.06738227429445182,-0.8584959871189372,-1.0111012017568826,-1.0848674217882492,-0.7780331494051853,-0.7590868645733219,-0.0076332521347603904,0.6261979477795336,-0.631578947368421,172.07,0.11226951115183703,0.07229685900870475,0.18544796950029463,0.011279000594884625,-0.14121596269527958,-1.0246805295824513,0.07512439952139982
2019-06-01,0.7000000000000002,0.10761589403973515,0.20790378006872856,0.1356783919597988,0.312087912087912,0.6913791001097427,-0.4393775267723808,-0.9591002155845509,-1.0734979563955658,-1.200365009073513,-0.8342640153673996,-0.791332180556727,0.34795117030217665,0.8071018624241003,-0.9473684210526315,162.05,0.028579961533661935,0.11718660305359818,0.06171168081915335,0.10646239804572843,-0.14026674660476177,-0.3975148145693261,0.019524535067413522
2019-07-01,0.7000000000000002,0.129139072847682,0.20274914089347074,0.15577889447236215,0.2879120879120878,0.682345358579964,-0.4550956360320115,-1.0362760620787204,-0.9723220255235168,-1.215031369363705,-1.0788665779930915,-0.9528235596344994,-0.39176322345353154,1.5186582682404894,-0.7894736842105263,135.18,0.07401554729534365,0.08046692643805997,-0.09424883416803398,0.01221825043160174,-0.15693784002995925,-1.6952967364012064,-0.08382891703450726
2019-08-01,0.56,0.14238410596026485,0.22508591065292094,0.17085427135678355,0.34725274725274724,0.7118469873012002,-0.7107768799886729,-1.0238728010350144,-1.1111430944174028,-0.7400246254651018,-1.0430419830488882,-0.9756323964350045,-0.18407997075343818,1.4306381241162371,-0.7368421052631579,116.34,-0.05580798313481461,-0.011969070306251717,0.14277272883861913,-0.39094195909308704,-0.17196173813138785,-1.29534116841136,-0.02848038501582706
2019-09-01,0.56,0.1556291390728477,0.3470790378006873,0.1792294807370185,0.41098901098901097,0.7648823314229971,-0.5122047663420036,-1.0996705074132165,-1.0795132895175883,-0.8887048529069252,-0.9330912677697719,-0.8670165952277438,0.3702755433164444,0.6142506068190582,-0.6842105263157895,117.09,0.006656120555180944,0.07403039352308172,-0.028466005016571372,0.2009125403744214,-0.1425259996238002,-0.24780963255169497,-0.053381886345715945
2019-10-01,0.45999999999999996,0.17880794701986735,0.4553264604810997,0.20100502512562812,0.48351648351648346,0.9654049157768215,-0.675673102642164,-1.1809807742552878,-1.147432317186325,-0.8267394806808638,-0.7157690262544611,-0.7700038117912942,0.8065945469232692,0.8854219755457591,-0.631578947368421,177.15,-0.13625944569939274,0.07394057246596497,0.06291634232598309,-0.06972547975109478,-0.15294646618776228,-0.04658785985580282,0.04421781186838954
2019-11-01,0.45999999999999996,0.20198675496688745,0.6134020618556701,0.21775544388609713,0.6263736263736263,0.9773686135837093,-0.49229516127980444,-1.198896595762863,-1.0270516957320814,-0.6859424218950172,-0.7983712480255861,-0.7270100571467538,0.5323376771847922,0.45488517697944,-0.7894736842105263,161.0,0.18136593433751336,0.015170290573843337,-0.1049130477250586,-0.17030402209640783,-0.17195642049132565,0.07845493029121811,-0.06839665943313425
2019-12-01,0.45999999999999996,0.23178807947019875,0.9243986254295532,0.2395309882747072,0.9999999999999999,0.8035675091887748,-0.2774810013981832,-1.1685775132115819,-1.0354583703001534,-0.7585409053314695,-0.7614899809184238,-0.6999523974488455,-0.042899982537491034,0.7627394194197222,-0.7894736842105263,184.58,-0.009324965348714409,-0.025289155593930857,0.008185249684125928,0.10583757633168145,-0.15169131688529072,-1.1191931987591552,-0.089764670694355
2020-01-01,0.45999999999999996,0.2284768211920527,0.9656357388316151,0.23785594639866003,0.9846153846153846,0.8377410420332015,-0.46924193436567935,-1.1024267876451512,-1.0312427065138186,-0.7237082996422605,-0.7982462652966339,-0.7496263127394445,-0.3268328410748363,0.559383577699305,-0.5789473684210527,176.06,-0.021194536740100856,-0.05660790561049711,-0.004071302050620229,-0.04592053697353038,-0.16304072565402208,-3.8108519097285654,-0.005513781860325473
2020-02-01,0.45999999999999996,0.21026490066225145,0.7920962199312714,0.22948073701842553,0.8043956043956043,0.7854059609455293,-0.8878675776471802,-1.1437709911241707,-1.2407685925960663,-0.5414787730366207,-1.0669818566763658,-0.9326627144414407,0.06954098727246909,0.2660234258622124,-0.5789473684210527,128.55,0.07433653878038249,0.03750290172768134,0.20317805377801257,-0.251799691527261,-0.15749301638939353,-0.5855282351137857,-0.10061635595189633
2020-03-01,0.0,0.20198675496688745,0.6649484536082474,0.2227805695142382,0.5890109890109888,0.818342710819238,-2.126978524281409,-1.123098889384661,-1.4311144411007177,-0.028339492383517753,-1.5606977222362963,-1.559514545876961,-2.6016550438384356,0.10258682616618904,0.0,70.83,-0.12522382319815217,-0.018073637030426748,0.15340962822599336,-0.9476627823754024,-0.20404540848349645,1.0821000606872133,0.14850664165351227
2020-04-01,0.0,0.2483443708609272,0.9020618556701031,0.28308207705192645,0.9714285714285714,0.4897381852387339,-2.8411046216439697,-1.2044091562267323,-1.803276198518957,-0.07527184531213327,-1.2948026474236598,-1.2556815815734503,-0.71155578392218,-1.0841894334086972,-0.10526315789473684,92.96,0.030373517499757696,0.07239813662946526,0.26005031235097964,1.656075990828663,-0.04130824693999214,-0.20750919779164706,0.4229754494989507
2020-05-01,0.0,0.24006622516556275,0.7388316151202748,0.2780569514237854,0.7736263736263734,0.24936680195794939,-2.2647739487908396,-1.2209468376183399,-1.787399663557554,0.018776190048726046,-1.2226762507519813,-1.3229887137045455,-0.5905443654513681,-0.10280762512571173,0.0,86.73,-0.10374563749259136,0.01373094957482568,-0.008804272453905027,-1.2494450610432883,-0.2291569289625945,0.7034475229813807,0.5382037181932893
2020-06-01,0.0,0.25496688741721885,0.7319587628865979,0.2814070351758797,0.7054945054945055,0.1033218945424774,-1.6942065826662407,-1.2209468376183399,-1.5354459565613692,0.009609714867356355,-1.1089760536042994,-1.1492323189541003,0.003731197965806146,0.6624452728606319,0.6842105263157895,97.95,0.044140641548795934,0.0,-0.1409610352587335,-0.4881967618340991,-0.19340278603690086,-0.9887981694664859,0.7613501891338678
2020-07-01,0.0,0.28973509933774855,0.8178694158075602,0.31658291457286447,0.832967032967033,0.05893706342432109,-1.5385973009958955,-1.2567784806334898,-1.3499567499626124,-0.1047878953961456,-0.981584566603219,-0.9635479256446575,-0.04641509765813942,0.2198764433219657,0.0,104.33,0.05569888531494027,0.029347422763341235,-0.12080477714380766,-11.90437092489643,-0.8538376102806138,-1.5351635833391188,3.2039851454869073
2020-08-01,0.0,0.30298013245033095,0.8109965635738833,0.3350083752093802,0.8549450549450549,0.028153361088369022,-1.4600067546977415,-1.2636691812133265,-1.1195744219900736,-0.4094815304248899,-0.8541930796021386,-0.8879477652520598,0.46713090977159283,0.0479617685089265,0.05263157894736842,142.76,-0.05569078135471761,0.00548282826768598,-0.17065904369078444,2.907717860701989,0.0025022269671820187,0.8137742176066944,3.8854031744004343
2020-09-01,0.0,0.33112582781456945,0.9106529209621993,0.3551088777219431,0.9560439560439559,0.03330604281707805,-1.6606746162456953,-1.1975184556468959,-1.103525315996481,-0.3533827023149047,-0.8387974798084833,-0.9216374402940727,-0.16454708658766246,-0.19629027501569035,0.10526315789473684,132.89,-0.053918875523314425,-0.052348135532525375,-0.014335005943655665,-0.1369996542988774,-0.1686815179966396,-0.08797090269970799,3.8731874664514834
2020-10-01,0.0,0.36423841059602635,0.9690721649484536,0.3802345058626466,0.9714285714285714,0.06781751354364451,-1.698398078468809,-1.1671993730956147,-0.9498631383343268,-0.17115317570926497,-0.8728155062160142,-0.8265865779122311,0.23671373168792104,0.013710707993376009,0.0,132.24,0.1602113143981192,-0.025318259111842156,-0.13924662663801024,-0.5156718917250573,-0.19637061531321,0.8905002402255551,0.8665901889209198
2020-11-01,0.0,0.3725165562913908,0.852233676975945,0.3835845896147405,0.8395604395604396,0.06543452889020504,-1.5674138346385524,-1.1162081888048243,-0.6313956249315171,-0.27455101575512225,-0.6153056363094421,-0.5072508263796696,1.6846069867624132,-0.7342563536412924,0.3684210526315789,179.79,0.1487724872974312,-0.043686781766814176,-0.33527726316579887,0.6041245779832765,-0.14376454086204038,2.5452325237683353,0.12689940018977547
2020-12-01,0.0,0.3460264900662251,0.4501718213058419,0.3685092127303182,0.5010989010989012,0.02451965788144303,-1.1849398426542024,-0.8460927260752317,-0.4356754214244024,-0.44944736221566467,-0.5467014801809618,-0.26344301728677616,1.3253793070524664,-0.4671380069113099,0.3157894736842105,183.28,0.7107849766245322,-0.24199380137034987,-0.309980297263452,0.6370267688848621,-0.15190519312149064,2.0885936317314933,0.20291346112898553
2021-01-01,0.0,0.32947019867549665,0.35910652920962194,0.3651591289782248,0.48791208791208784,0.021676798996638047,-0.9344979684507513,-0.569086562765802,-0.4620294833401483,-0.478596753292423,-0.40589139291692433,-0.3470112251526904,0.4139870928188886,-0.5102603461704235,2.0,261.89,-0.43635876150827757,-0.3273945689078045,0.06049012778729557,0.06485607331870646,-0.16858655323515134,-9.600251438626355,0.08809078619466901
2021-02-01,0.0,0.33443708609271505,0.5257731958762887,0.37688442211055273,0.6703296703296703,0.03175222533837338,-0.54102129998466,-0.43540697151697305,-0.27809341603109383,-0.2873840810090393,-0.3248230500920306,-0.131669325839847,0.6378388700374752,-0.7722277253926365,2.210526315789474,321.96,1.1090938713709457,-0.23490203423383693,-0.39810461007666875,-0.3995277255183397,-0.21684007458472118,-10.492436978524774,0.2083404123086949
